nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 30056
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'drug_3d': 0, 'protein_1d': 0, 'protein_3d': 0}
TOTAL SIZE: 30056
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: /data1/ztx/MyModel-MDTA/data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + drug_3d + protein_1d + protein_3d + softclip(label-sim) + pcl(protein1d-protein3d)

EPOCH 1/10
  STEP 3300/5739 | TOTAL_LOSS=2.379219 | REG_LOSS=1.963367 | SOFTCLIP_LOSS=1.370434 | PCL_LOSS=2.788088 | DRUG_PCL=1.387655 | PROT_PCL=1.400433 | MEAN_GATE=0.5192 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.4155 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.401202
  STEP 3400/5739 | TOTAL_LOSS=0.375684 | REG_LOSS=0.024827 | SOFTCLIP_LOSS=0.762162 | PCL_LOSS=2.746409 | DRUG_PCL=1.378692 | PROT_PCL=1.367717 | MEAN_GATE=0.5170 | MEAN_VALID_PER_ROW=2.25 | MEAN_VALID_OFFDIAG=1.25 | MEAN_DIAG_PRIOR_MASS=0.5417 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.157566
  STEP 3500/5739 | TOTAL_LOSS=0.515422 | REG_LOSS=0.094441 | SOFTCLIP_LOSS=1.394245 | PCL_LOSS=2.815565 | DRUG_PCL=1.402384 | PROT_PCL=1.413180 | MEAN_GATE=0.5382 | MEAN_VALID_PER_ROW=4.00 | MEAN_VALID_OFFDIAG=3.00 | MEAN_DIAG_PRIOR_MASS=0.2185 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.307312
  STEP 3600/5739 | TOTAL_LOSS=1.500236 | REG_LOSS=1.088535 | SOFTCLIP_LOSS=1.327077 | PCL_LOSS=2.789931 | DRUG_PCL=1.379642 | PROT_PCL=1.410290 | MEAN_GATE=0.5346 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4387 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=1.043329
  STEP 3700/5739 | TOTAL_LOSS=5.223722 | REG_LOSS=4.817810 | SOFTCLIP_LOSS=1.260648 | PCL_LOSS=2.798470 | DRUG_PCL=1.411877 | PROT_PCL=1.386593 | MEAN_GATE=0.5287 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4202 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=2.194951
  STEP 3800/5739 | TOTAL_LOSS=0.494321 | REG_LOSS=0.086709 | SOFTCLIP_LOSS=1.238786 | PCL_LOSS=2.837333 | DRUG_PCL=1.404884 | PROT_PCL=1.432449 | MEAN_GATE=0.5133 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2611 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.294465
  STEP 3900/5739 | TOTAL_LOSS=0.848341 | REG_LOSS=0.440585 | SOFTCLIP_LOSS=1.307681 | PCL_LOSS=2.769880 | DRUG_PCL=1.388949 | PROT_PCL=1.380931 | MEAN_GATE=0.5223 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2899 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.663766
  STEP 4000/5739 | TOTAL_LOSS=0.564019 | REG_LOSS=0.156120 | SOFTCLIP_LOSS=1.318959 | PCL_LOSS=2.760026 | DRUG_PCL=1.385552 | PROT_PCL=1.374473 | MEAN_GATE=0.5519 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2785 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.395121
  STEP 4100/5739 | TOTAL_LOSS=1.261719 | REG_LOSS=0.850499 | SOFTCLIP_LOSS=1.334584 | PCL_LOSS=2.777615 | DRUG_PCL=1.396533 | PROT_PCL=1.381081 | MEAN_GATE=0.5603 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2644 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.922225
  STEP 4200/5739 | TOTAL_LOSS=0.552881 | REG_LOSS=0.149963 | SOFTCLIP_LOSS=1.243217 | PCL_LOSS=2.785964 | DRUG_PCL=1.384662 | PROT_PCL=1.401301 | MEAN_GATE=0.5678 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2320 | LBL_TAU=1.00 | LBL_MIX=0.50 | BATCH_RMSE=0.387251
