nohup: ignoring input
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)
RESUMED FROM: outputs/davis_softclip_pcl_diagmul_bs4_ep200_a10_gpu0/latest_model.pt | start_epoch=40 | best_val_rmse=0.570351

EPOCH 40/200
  STEP 5100/5739 | TOTAL_LOSS=0.397540 | REG_LOSS=0.296511 | SOFTCLIP_LOSS=0.869460 | PCL_LOSS=0.140826 | MEAN_GATE=0.3379 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.5061 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.544529
  STEP 5200/5739 | TOTAL_LOSS=0.386092 | REG_LOSS=0.274389 | SOFTCLIP_LOSS=1.113036 | PCL_LOSS=0.003991 | MEAN_GATE=0.3033 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4129 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.523821
  STEP 5300/5739 | TOTAL_LOSS=0.424642 | REG_LOSS=0.314335 | SOFTCLIP_LOSS=1.103045 | PCL_LOSS=0.000029 | MEAN_GATE=0.3089 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3242 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.560655
  STEP 5400/5739 | TOTAL_LOSS=0.494775 | REG_LOSS=0.359894 | SOFTCLIP_LOSS=1.294092 | PCL_LOSS=0.054714 | MEAN_GATE=0.3326 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3772 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.599912
  STEP 5500/5739 | TOTAL_LOSS=0.453340 | REG_LOSS=0.351244 | SOFTCLIP_LOSS=0.895826 | PCL_LOSS=0.125138 | MEAN_GATE=0.3932 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4889 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.592658
  STEP 5600/5739 | TOTAL_LOSS=0.552454 | REG_LOSS=0.444530 | SOFTCLIP_LOSS=0.761667 | PCL_LOSS=0.317565 | MEAN_GATE=0.3295 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4826 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.666731
  STEP 5700/5739 | TOTAL_LOSS=0.563377 | REG_LOSS=0.329256 | SOFTCLIP_LOSS=1.238477 | PCL_LOSS=1.102731 | MEAN_GATE=0.3368 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2279 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.573809
[EPOCH 040/200] TRAIN: TOTAL=0.464632 | REG=0.346452 | SOFTCLIP=1.088391 | PCL=0.093412 | RMSE=0.588602 | MAE=0.390465 | CI=0.841801 | RM2=0.543585
[EPOCH 040/200] VAL  : TOTAL=0.367576 | REG=0.321920 | SOFTCLIP=0.389461 | PCL=0.067098 | RMSE=0.567380 | MAE=0.360618 | CI=0.861061 | RM2=0.552888
  SAVED NEW BEST MODEL | EPOCH=040 | BEST_VAL_RMSE=0.567380 | BEST_VAL_MAE=0.360618 | BEST_VAL_CI=0.861061 | BEST_VAL_RM2=0.552888

EPOCH 41/200
  STEP 100/5739 | TOTAL_LOSS=0.228216 | REG_LOSS=0.103307 | SOFTCLIP_LOSS=1.105208 | PCL_LOSS=0.143884 | MEAN_GATE=0.3717 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3752 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.321415
  STEP 200/5739 | TOTAL_LOSS=1.213091 | REG_LOSS=1.107019 | SOFTCLIP_LOSS=1.058281 | PCL_LOSS=0.002435 | MEAN_GATE=0.3852 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.5258 | DIAG_ALPHA=1.00 | BATCH_RMSE=1.052150
  STEP 300/5739 | TOTAL_LOSS=0.627224 | REG_LOSS=0.501350 | SOFTCLIP_LOSS=0.918634 | PCL_LOSS=0.340108 | MEAN_GATE=0.3386 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2682 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.708061
  STEP 400/5739 | TOTAL_LOSS=0.427872 | REG_LOSS=0.322796 | SOFTCLIP_LOSS=1.050749 | PCL_LOSS=0.000008 | MEAN_GATE=0.3149 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3558 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.568152
  STEP 500/5739 | TOTAL_LOSS=0.266598 | REG_LOSS=0.139161 | SOFTCLIP_LOSS=1.092277 | PCL_LOSS=0.182089 | MEAN_GATE=0.2746 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.4203 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.373043
  STEP 600/5739 | TOTAL_LOSS=0.228734 | REG_LOSS=0.106724 | SOFTCLIP_LOSS=1.219269 | PCL_LOSS=0.000836 | MEAN_GATE=0.3735 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2715 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.326686
  STEP 700/5739 | TOTAL_LOSS=0.215697 | REG_LOSS=0.090452 | SOFTCLIP_LOSS=1.252456 | PCL_LOSS=0.000000 | MEAN_GATE=0.3273 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.4103 | DIAG_ALPHA=1.00 | BATCH_RMSE=0.300752
