Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 5300/5739 | TOTAL_LOSS=0.275568 | REG_LOSS=0.100504 | SOFTCLIP_LOSS=1.326181 | PCL_LOSS=0.424459 | MEAN_GATE=0.4888 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6026 | DIAG_W=0.50 | BATCH_RMSE=0.317023
  STEP 5400/5739 | TOTAL_LOSS=1.368310 | REG_LOSS=1.116835 | SOFTCLIP_LOSS=1.316856 | PCL_LOSS=1.197891 | MEAN_GATE=0.4951 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.6176 | DIAG_W=0.50 | BATCH_RMSE=1.056804
  STEP 5500/5739 | TOTAL_LOSS=0.839463 | REG_LOSS=0.699951 | SOFTCLIP_LOSS=1.030736 | PCL_LOSS=0.364391 | MEAN_GATE=0.4825 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.6725 | DIAG_W=0.50 | BATCH_RMSE=0.836630
  STEP 5600/5739 | TOTAL_LOSS=0.932191 | REG_LOSS=0.718410 | SOFTCLIP_LOSS=1.020821 | PCL_LOSS=1.116989 | MEAN_GATE=0.5075 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.7174 | DIAG_W=0.50 | BATCH_RMSE=0.847591
  STEP 5700/5739 | TOTAL_LOSS=0.896956 | REG_LOSS=0.728732 | SOFTCLIP_LOSS=1.351883 | PCL_LOSS=0.330349 | MEAN_GATE=0.4915 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.5660 | DIAG_W=0.50 | BATCH_RMSE=0.853658
[EPOCH 001/200] TRAIN: TOTAL=1.027866 | REG=0.829585 | SOFTCLIP=1.196986 | PCL=0.785817 | RMSE=0.910816 | MAE=0.630112 | CI=0.682072 | RM2=0.097603
[EPOCH 001/200] VAL  : TOTAL=0.689059 | REG=0.604414 | SOFTCLIP=0.411095 | PCL=0.435355 | RMSE=0.777440 | MAE=0.531600 | CI=0.760705 | RM2=0.230395
  SAVED NEW BEST MODEL | EPOCH=001 | BEST_VAL_RMSE=0.777440 | BEST_VAL_MAE=0.531600 | BEST_VAL_CI=0.760705 | BEST_VAL_RM2=0.230395

EPOCH 2/200
