Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + stdclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 5600/5739 | TOTAL_LOSS=0.273624 | REG_LOSS=0.108324 | STDCLIP_LOSS=1.373448 | PCL_LOSS=0.279560 | MEAN_GATE=0.3567 | BATCH_RMSE=0.329126
  STEP 5700/5739 | TOTAL_LOSS=0.422341 | REG_LOSS=0.262669 | STDCLIP_LOSS=1.379752 | PCL_LOSS=0.216972 | MEAN_GATE=0.3623 | BATCH_RMSE=0.512512
[EPOCH 002/030] TRAIN: TOTAL=0.872493 | REG=0.699575 | STDCLIP=1.386787 | PCL=0.342396 | RMSE=0.836406 | MAE=0.583598 | CI=0.720446 | RM2=0.166551
[EPOCH 002/030] VAL  : TOTAL=0.730723 | REG=0.569419 | STDCLIP=1.386303 | PCL=0.226735 | RMSE=0.754598 | MAE=0.468191 | CI=0.782444 | RM2=0.269569
  SAVED NEW BEST MODEL | EPOCH=002 | BEST_VAL_RMSE=0.754598 | BEST_VAL_MAE=0.468191 | BEST_VAL_CI=0.782444 | BEST_VAL_RM2=0.269569

EPOCH 3/30
  STEP 100/5739 | TOTAL_LOSS=0.828999 | REG_LOSS=0.643945 | STDCLIP_LOSS=1.418772 | PCL_LOSS=0.431777 | MEAN_GATE=0.3637 | BATCH_RMSE=0.802462
  STEP 200/5739 | TOTAL_LOSS=0.443923 | REG_LOSS=0.240704 | STDCLIP_LOSS=1.395251 | PCL_LOSS=0.636936 | MEAN_GATE=0.3836 | BATCH_RMSE=0.490616
  STEP 300/5739 | TOTAL_LOSS=0.421656 | REG_LOSS=0.239362 | STDCLIP_LOSS=1.373264 | PCL_LOSS=0.449669 | MEAN_GATE=0.3846 | BATCH_RMSE=0.489247
