Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + affinity-aware soft CLIP

EPOCH 1/30
  STEP 1000/2870 | TOTAL_LOSS=0.628614 | REG_LOSS=0.447178 | SOFTCLIP_LOSS=1.814354 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | BATCH_RMSE=0.668714
  STEP 1100/2870 | TOTAL_LOSS=0.309704 | REG_LOSS=0.135876 | SOFTCLIP_LOSS=1.738282 | MEAN_VALID_PER_ROW=6.12 | MEAN_VALID_OFFDIAG=5.12 | BATCH_RMSE=0.368614
  STEP 1200/2870 | TOTAL_LOSS=0.721900 | REG_LOSS=0.526139 | SOFTCLIP_LOSS=1.957612 | MEAN_VALID_PER_ROW=7.38 | MEAN_VALID_OFFDIAG=6.38 | BATCH_RMSE=0.725354
  STEP 1300/2870 | TOTAL_LOSS=1.713378 | REG_LOSS=1.542012 | SOFTCLIP_LOSS=1.713659 | MEAN_VALID_PER_ROW=7.12 | MEAN_VALID_OFFDIAG=6.12 | BATCH_RMSE=1.241778
  STEP 1400/2870 | TOTAL_LOSS=0.611490 | REG_LOSS=0.413734 | SOFTCLIP_LOSS=1.977558 | MEAN_VALID_PER_ROW=7.50 | MEAN_VALID_OFFDIAG=6.50 | BATCH_RMSE=0.643222
  STEP 1500/2870 | TOTAL_LOSS=0.777670 | REG_LOSS=0.600008 | SOFTCLIP_LOSS=1.776617 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.774602
  STEP 1600/2870 | TOTAL_LOSS=1.694686 | REG_LOSS=1.518146 | SOFTCLIP_LOSS=1.765403 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=1.232131
  STEP 1700/2870 | TOTAL_LOSS=0.631790 | REG_LOSS=0.452991 | SOFTCLIP_LOSS=1.787995 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.673046
  STEP 1800/2870 | TOTAL_LOSS=2.460948 | REG_LOSS=2.279309 | SOFTCLIP_LOSS=1.816384 | MEAN_VALID_PER_ROW=6.12 | MEAN_VALID_OFFDIAG=5.12 | BATCH_RMSE=1.509738
  STEP 1900/2870 | TOTAL_LOSS=0.993152 | REG_LOSS=0.823696 | SOFTCLIP_LOSS=1.694561 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.907577
  STEP 2000/2870 | TOTAL_LOSS=1.778615 | REG_LOSS=1.600673 | SOFTCLIP_LOSS=1.779412 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=1.265177
  STEP 2100/2870 | TOTAL_LOSS=0.564057 | REG_LOSS=0.368946 | SOFTCLIP_LOSS=1.951114 | MEAN_VALID_PER_ROW=7.25 | MEAN_VALID_OFFDIAG=6.25 | BATCH_RMSE=0.607409
  STEP 2200/2870 | TOTAL_LOSS=1.469922 | REG_LOSS=1.287513 | SOFTCLIP_LOSS=1.824087 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=1.134686
  STEP 2300/2870 | TOTAL_LOSS=0.467862 | REG_LOSS=0.290051 | SOFTCLIP_LOSS=1.778112 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.538564
  STEP 2400/2870 | TOTAL_LOSS=0.698991 | REG_LOSS=0.509013 | SOFTCLIP_LOSS=1.899781 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.713451
  STEP 2500/2870 | TOTAL_LOSS=0.557152 | REG_LOSS=0.363095 | SOFTCLIP_LOSS=1.940571 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.602574
  STEP 2600/2870 | TOTAL_LOSS=0.544899 | REG_LOSS=0.372387 | SOFTCLIP_LOSS=1.725123 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | BATCH_RMSE=0.610235
  STEP 2700/2870 | TOTAL_LOSS=0.504322 | REG_LOSS=0.308925 | SOFTCLIP_LOSS=1.953973 | MEAN_VALID_PER_ROW=7.25 | MEAN_VALID_OFFDIAG=6.25 | BATCH_RMSE=0.555810
  STEP 2800/2870 | TOTAL_LOSS=1.539321 | REG_LOSS=1.362236 | SOFTCLIP_LOSS=1.770841 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=1.167149
[EPOCH 003/030] TRAIN: TOTAL=0.859813 | REG=0.682124 | SOFTCLIP=1.776882 | RMSE=0.825908 | MAE=0.572578 | CI=0.723988 | RM2=0.180974
[EPOCH 003/030] VAL  : TOTAL=0.662764 | REG=0.584871 | SOFTCLIP=0.778930 | RMSE=0.764769 | MAE=0.583518 | CI=0.785073 | RM2=0.290459

EPOCH 4/30
  STEP 100/2870 | TOTAL_LOSS=0.301800 | REG_LOSS=0.115218 | SOFTCLIP_LOSS=1.865827 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.339437
  STEP 200/2870 | TOTAL_LOSS=0.420252 | REG_LOSS=0.243968 | SOFTCLIP_LOSS=1.762841 | MEAN_VALID_PER_ROW=5.88 | MEAN_VALID_OFFDIAG=4.88 | BATCH_RMSE=0.493931
  STEP 300/2870 | TOTAL_LOSS=0.911375 | REG_LOSS=0.738160 | SOFTCLIP_LOSS=1.732153 | MEAN_VALID_PER_ROW=7.12 | MEAN_VALID_OFFDIAG=6.12 | BATCH_RMSE=0.859162
  STEP 400/2870 | TOTAL_LOSS=0.468811 | REG_LOSS=0.291723 | SOFTCLIP_LOSS=1.770878 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.540114
  STEP 500/2870 | TOTAL_LOSS=0.578735 | REG_LOSS=0.395450 | SOFTCLIP_LOSS=1.832850 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.628848
  STEP 600/2870 | TOTAL_LOSS=3.092345 | REG_LOSS=2.916277 | SOFTCLIP_LOSS=1.760680 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=1.707711
  STEP 700/2870 | TOTAL_LOSS=0.819966 | REG_LOSS=0.645753 | SOFTCLIP_LOSS=1.742127 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | BATCH_RMSE=0.803588
  STEP 800/2870 | TOTAL_LOSS=0.828032 | REG_LOSS=0.654083 | SOFTCLIP_LOSS=1.739488 | MEAN_VALID_PER_ROW=7.38 | MEAN_VALID_OFFDIAG=6.38 | BATCH_RMSE=0.808754
