Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 5000/5739 | TOTAL_LOSS=0.983282 | REG_LOSS=0.803108 | SOFTCLIP_LOSS=1.308399 | PCL_LOSS=0.493336 | MEAN_GATE=0.5069 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.896163
  STEP 5100/5739 | TOTAL_LOSS=0.511889 | REG_LOSS=0.352419 | SOFTCLIP_LOSS=0.947055 | PCL_LOSS=0.647646 | MEAN_GATE=0.5002 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | BATCH_RMSE=0.593649
  STEP 5200/5739 | TOTAL_LOSS=0.942535 | REG_LOSS=0.760837 | SOFTCLIP_LOSS=1.121433 | PCL_LOSS=0.695552 | MEAN_GATE=0.4947 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.872259
  STEP 5300/5739 | TOTAL_LOSS=0.278942 | REG_LOSS=0.101131 | SOFTCLIP_LOSS=1.316133 | PCL_LOSS=0.461980 | MEAN_GATE=0.4852 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.318011
  STEP 5400/5739 | TOTAL_LOSS=1.301745 | REG_LOSS=1.125763 | SOFTCLIP_LOSS=1.346383 | PCL_LOSS=0.413432 | MEAN_GATE=0.4987 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=1.061020
  STEP 5500/5739 | TOTAL_LOSS=0.874763 | REG_LOSS=0.730038 | SOFTCLIP_LOSS=0.940766 | PCL_LOSS=0.506485 | MEAN_GATE=0.4844 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | BATCH_RMSE=0.854423
  STEP 5600/5739 | TOTAL_LOSS=0.955576 | REG_LOSS=0.752578 | SOFTCLIP_LOSS=0.939222 | PCL_LOSS=1.090757 | MEAN_GATE=0.5198 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | BATCH_RMSE=0.867512
  STEP 5700/5739 | TOTAL_LOSS=0.858715 | REG_LOSS=0.686420 | SOFTCLIP_LOSS=1.386451 | PCL_LOSS=0.336499 | MEAN_GATE=0.4972 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.828505
[EPOCH 001/200] TRAIN: TOTAL=1.025991 | REG=0.828820 | SOFTCLIP=1.175549 | PCL=0.796167 | RMSE=0.910395 | MAE=0.629794 | CI=0.682431 | RM2=0.098146
[EPOCH 001/200] VAL  : TOTAL=0.692102 | REG=0.603169 | SOFTCLIP=0.403778 | PCL=0.485551 | RMSE=0.776640 | MAE=0.528781 | CI=0.760952 | RM2=0.230678
