Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(diag-mul) + pcl(protein1d-protein3d)

EPOCH 1/200
  STEP 5100/5739 | TOTAL_LOSS=0.505734 | REG_LOSS=0.360486 | SOFTCLIP_LOSS=0.947391 | PCL_LOSS=0.505097 | MEAN_GATE=0.4980 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4285 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.600404
  STEP 5200/5739 | TOTAL_LOSS=0.953878 | REG_LOSS=0.768411 | SOFTCLIP_LOSS=1.148187 | PCL_LOSS=0.706486 | MEAN_GATE=0.4907 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3207 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.876591
  STEP 5300/5739 | TOTAL_LOSS=0.271808 | REG_LOSS=0.097181 | SOFTCLIP_LOSS=1.303033 | PCL_LOSS=0.443242 | MEAN_GATE=0.4782 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2336 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.311738
  STEP 5400/5739 | TOTAL_LOSS=1.290838 | REG_LOSS=1.099764 | SOFTCLIP_LOSS=1.317610 | PCL_LOSS=0.593130 | MEAN_GATE=0.4921 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.2687 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.048696
  STEP 5500/5739 | TOTAL_LOSS=0.833053 | REG_LOSS=0.693977 | SOFTCLIP_LOSS=0.935416 | PCL_LOSS=0.455348 | MEAN_GATE=0.4690 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.3817 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.833053
  STEP 5600/5739 | TOTAL_LOSS=0.937790 | REG_LOSS=0.732804 | SOFTCLIP_LOSS=0.930547 | PCL_LOSS=1.119307 | MEAN_GATE=0.5179 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | MEAN_DIAG_PRIOR_MASS=0.4475 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.856040
  STEP 5700/5739 | TOTAL_LOSS=0.902485 | REG_LOSS=0.740409 | SOFTCLIP_LOSS=1.391522 | PCL_LOSS=0.229239 | MEAN_GATE=0.4869 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.1535 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.860470
[EPOCH 001/200] TRAIN: TOTAL=1.025677 | REG=0.829058 | SOFTCLIP=1.176268 | PCL=0.789923 | RMSE=0.910526 | MAE=0.629899 | CI=0.682319 | RM2=0.098133
[EPOCH 001/200] VAL  : TOTAL=0.690331 | REG=0.602850 | SOFTCLIP=0.404210 | PCL=0.470598 | RMSE=0.776434 | MAE=0.528674 | CI=0.760768 | RM2=0.231110
  SAVED NEW BEST MODEL | EPOCH=001 | BEST_VAL_RMSE=0.776434 | BEST_VAL_MAE=0.528674 | BEST_VAL_CI=0.760768 | BEST_VAL_RM2=0.231110

EPOCH 2/200
  STEP 100/5739 | TOTAL_LOSS=0.454690 | REG_LOSS=0.218019 | SOFTCLIP_LOSS=1.154672 | PCL_LOSS=1.212043 | MEAN_GATE=0.4980 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.2727 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.466925
  STEP 200/5739 | TOTAL_LOSS=2.235406 | REG_LOSS=2.080847 | SOFTCLIP_LOSS=1.295969 | PCL_LOSS=0.249620 | MEAN_GATE=0.4947 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.4303 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.442514
  STEP 300/5739 | TOTAL_LOSS=1.119440 | REG_LOSS=0.971598 | SOFTCLIP_LOSS=1.082854 | PCL_LOSS=0.395567 | MEAN_GATE=0.4916 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.1946 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.985697
  STEP 400/5739 | TOTAL_LOSS=1.243843 | REG_LOSS=1.068768 | SOFTCLIP_LOSS=1.188561 | PCL_LOSS=0.562188 | MEAN_GATE=0.4872 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.2611 | DIAG_ALPHA=0.20 | BATCH_RMSE=1.033812
  STEP 500/5739 | TOTAL_LOSS=0.367850 | REG_LOSS=0.193678 | SOFTCLIP_LOSS=1.140904 | PCL_LOSS=0.600808 | MEAN_GATE=0.4580 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | MEAN_DIAG_PRIOR_MASS=0.3194 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.440089
  STEP 600/5739 | TOTAL_LOSS=0.672603 | REG_LOSS=0.524617 | SOFTCLIP_LOSS=1.229398 | PCL_LOSS=0.250468 | MEAN_GATE=0.4813 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.1868 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.724304
  STEP 700/5739 | TOTAL_LOSS=0.460263 | REG_LOSS=0.337464 | SOFTCLIP_LOSS=1.225572 | PCL_LOSS=0.002409 | MEAN_GATE=0.5065 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3054 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.580917
  STEP 800/5739 | TOTAL_LOSS=0.281866 | REG_LOSS=0.077520 | SOFTCLIP_LOSS=1.322179 | PCL_LOSS=0.721282 | MEAN_GATE=0.4407 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | MEAN_DIAG_PRIOR_MASS=0.3221 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.278424
  STEP 900/5739 | TOTAL_LOSS=0.294798 | REG_LOSS=0.141626 | SOFTCLIP_LOSS=1.229142 | PCL_LOSS=0.302571 | MEAN_GATE=0.4513 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | MEAN_DIAG_PRIOR_MASS=0.3276 | DIAG_ALPHA=0.20 | BATCH_RMSE=0.376333
