SWEEP START: 2026-04-19T06:59:02.311318\nSWEEP DIR: outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902\n\n\n====================================================================================================\n[RUN 1/5] bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07\nSTART: 2026-04-19T06:59:02.311555\nOUTPUT_DIR: outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07\nCOMMAND: /data1/ztx/.conda/envs/mdta/bin/python -u train_p13d_softclip_pcl.py --pairs_csv data/raw/davis/pairs.csv --drug_1d_dir data/processed/davis/drug_1d_chemberta2 --protein_1d_dir data/processed/davis/protein_1d_esm2 --protein_3d_dir data/processed/davis/protein_3d_min --split_json data/splits/davis_fixed_split_size2.json --output_dir outputs/softclip_pcl_sweeps/softclip_pcl_sweep_20260419_065902/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_at1_pt0.07 --drug_1d_in_dim 768 --hidden_dim 128 --contrastive_dim 128 --dropout 0.1 --epochs 30 --batch_size 2 --lr 0.0003 --lambda_clip 0.1 --lambda_pcl 0.1 --temperature_init 0.07 --affinity_temperature 1.0 --pcl_temperature_init 0.07 --num_workers 0 --weight_decay 1e-05 --seed 42\n====================================================================================================\nUsing device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 4600/11478 | TOTAL_LOSS=0.486910 | REG_LOSS=0.385802 | SOFTCLIP_LOSS=0.706747 | PCL_LOSS=0.304332 | MEAN_GATE=0.4819 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.621129
  STEP 4700/11478 | TOTAL_LOSS=0.127032 | REG_LOSS=0.092273 | SOFTCLIP_LOSS=0.347130 | PCL_LOSS=0.000461 | MEAN_GATE=0.4833 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.303764
  STEP 4800/11478 | TOTAL_LOSS=0.131849 | REG_LOSS=0.061113 | SOFTCLIP_LOSS=0.695718 | PCL_LOSS=0.011641 | MEAN_GATE=0.4872 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.247210
  STEP 4900/11478 | TOTAL_LOSS=0.147530 | REG_LOSS=0.006257 | SOFTCLIP_LOSS=0.692574 | PCL_LOSS=0.720156 | MEAN_GATE=0.4890 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.079099
  STEP 5000/11478 | TOTAL_LOSS=0.372827 | REG_LOSS=0.281381 | SOFTCLIP_LOSS=0.346830 | PCL_LOSS=0.567627 | MEAN_GATE=0.4790 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.530454
  STEP 5100/11478 | TOTAL_LOSS=0.466441 | REG_LOSS=0.421830 | SOFTCLIP_LOSS=0.311274 | PCL_LOSS=0.134839 | MEAN_GATE=0.4725 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.649484
  STEP 5200/11478 | TOTAL_LOSS=4.513972 | REG_LOSS=4.374860 | SOFTCLIP_LOSS=0.692843 | PCL_LOSS=0.698282 | MEAN_GATE=0.4790 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=2.091617
  STEP 5300/11478 | TOTAL_LOSS=0.147081 | REG_LOSS=0.069693 | SOFTCLIP_LOSS=0.708970 | PCL_LOSS=0.064914 | MEAN_GATE=0.4756 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.263994
  STEP 5400/11478 | TOTAL_LOSS=0.372247 | REG_LOSS=0.310495 | SOFTCLIP_LOSS=0.616169 | PCL_LOSS=0.001354 | MEAN_GATE=0.4858 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.557221
  STEP 5500/11478 | TOTAL_LOSS=0.341853 | REG_LOSS=0.210646 | SOFTCLIP_LOSS=0.667753 | PCL_LOSS=0.644317 | MEAN_GATE=0.4757 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.458962
  STEP 5600/11478 | TOTAL_LOSS=0.162196 | REG_LOSS=0.092505 | SOFTCLIP_LOSS=0.696917 | PCL_LOSS=0.000001 | MEAN_GATE=0.4772 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.304146
  STEP 5700/11478 | TOTAL_LOSS=0.218334 | REG_LOSS=0.138028 | SOFTCLIP_LOSS=0.693394 | PCL_LOSS=0.109662 | MEAN_GATE=0.4807 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.371522
  STEP 5800/11478 | TOTAL_LOSS=0.296307 | REG_LOSS=0.226680 | SOFTCLIP_LOSS=0.696271 | PCL_LOSS=0.000000 | MEAN_GATE=0.4765 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.476109
  STEP 5900/11478 | TOTAL_LOSS=0.131501 | REG_LOSS=0.023217 | SOFTCLIP_LOSS=0.346899 | PCL_LOSS=0.735935 | MEAN_GATE=0.4623 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.152372
  STEP 6000/11478 | TOTAL_LOSS=1.164850 | REG_LOSS=1.066248 | SOFTCLIP_LOSS=0.634990 | PCL_LOSS=0.351033 | MEAN_GATE=0.4745 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=1.032593
  STEP 6100/11478 | TOTAL_LOSS=0.166261 | REG_LOSS=0.069171 | SOFTCLIP_LOSS=0.338086 | PCL_LOSS=0.632814 | MEAN_GATE=0.4746 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.263004
  STEP 6200/11478 | TOTAL_LOSS=0.253087 | REG_LOSS=0.181844 | SOFTCLIP_LOSS=0.712411 | PCL_LOSS=0.000020 | MEAN_GATE=0.4759 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.426432
  STEP 6300/11478 | TOTAL_LOSS=0.318117 | REG_LOSS=0.170687 | SOFTCLIP_LOSS=0.715657 | PCL_LOSS=0.758644 | MEAN_GATE=0.4809 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.413143
  STEP 6400/11478 | TOTAL_LOSS=3.198921 | REG_LOSS=3.071869 | SOFTCLIP_LOSS=0.727338 | PCL_LOSS=0.543175 | MEAN_GATE=0.4819 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=1.752675
  STEP 6500/11478 | TOTAL_LOSS=0.485488 | REG_LOSS=0.382822 | SOFTCLIP_LOSS=0.687876 | PCL_LOSS=0.338789 | MEAN_GATE=0.4756 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.618726
  STEP 6600/11478 | TOTAL_LOSS=0.838436 | REG_LOSS=0.714575 | SOFTCLIP_LOSS=0.350748 | PCL_LOSS=0.887867 | MEAN_GATE=0.4788 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.845325
  STEP 6700/11478 | TOTAL_LOSS=0.176989 | REG_LOSS=0.053852 | SOFTCLIP_LOSS=0.346591 | PCL_LOSS=0.884777 | MEAN_GATE=0.4630 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.232061
  STEP 6800/11478 | TOTAL_LOSS=0.680024 | REG_LOSS=0.620555 | SOFTCLIP_LOSS=0.594683 | PCL_LOSS=0.000004 | MEAN_GATE=0.4666 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.787753
