Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
[EPOCH 002/030] TRAIN: TOTAL=0.918485 | REG=0.684203 | SOFTCLIP=1.774509 | PCL=0.568312 | RMSE=0.827166 | MAE=0.575815 | CI=0.727405 | RM2=0.177841
[EPOCH 002/030] VAL  : TOTAL=0.726837 | REG=0.611832 | SOFTCLIP=0.777885 | PCL=0.372162 | RMSE=0.782197 | MAE=0.466129 | CI=0.773841 | RM2=0.266919

EPOCH 3/30
  STEP 100/2870 | TOTAL_LOSS=0.581752 | REG_LOSS=0.323590 | SOFTCLIP_LOSS=1.690420 | PCL_LOSS=0.891200 | MEAN_GATE=0.4969 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.568850
  STEP 200/2870 | TOTAL_LOSS=1.019879 | REG_LOSS=0.818132 | SOFTCLIP_LOSS=1.887361 | PCL_LOSS=0.130104 | MEAN_GATE=0.4668 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.904507
  STEP 300/2870 | TOTAL_LOSS=0.458239 | REG_LOSS=0.228113 | SOFTCLIP_LOSS=1.748582 | PCL_LOSS=0.552673 | MEAN_GATE=0.5022 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.477612
  STEP 400/2870 | TOTAL_LOSS=0.711860 | REG_LOSS=0.521655 | SOFTCLIP_LOSS=1.676941 | PCL_LOSS=0.225108 | MEAN_GATE=0.5056 | MEAN_VALID_PER_ROW=6.25 | MEAN_VALID_OFFDIAG=5.25 | BATCH_RMSE=0.722257
  STEP 500/2870 | TOTAL_LOSS=0.552307 | REG_LOSS=0.321637 | SOFTCLIP_LOSS=1.820683 | PCL_LOSS=0.486019 | MEAN_GATE=0.4827 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.567130
  STEP 600/2870 | TOTAL_LOSS=0.912586 | REG_LOSS=0.676088 | SOFTCLIP_LOSS=1.744109 | PCL_LOSS=0.620874 | MEAN_GATE=0.5299 | MEAN_VALID_PER_ROW=6.88 | MEAN_VALID_OFFDIAG=5.88 | BATCH_RMSE=0.822246
  STEP 700/2870 | TOTAL_LOSS=0.485063 | REG_LOSS=0.245222 | SOFTCLIP_LOSS=1.706559 | PCL_LOSS=0.691845 | MEAN_GATE=0.4896 | MEAN_VALID_PER_ROW=6.62 | MEAN_VALID_OFFDIAG=5.62 | BATCH_RMSE=0.495199
  STEP 800/2870 | TOTAL_LOSS=0.686537 | REG_LOSS=0.456497 | SOFTCLIP_LOSS=1.859822 | PCL_LOSS=0.440576 | MEAN_GATE=0.4661 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.675646
  STEP 900/2870 | TOTAL_LOSS=0.561241 | REG_LOSS=0.324666 | SOFTCLIP_LOSS=1.927289 | PCL_LOSS=0.438462 | MEAN_GATE=0.4870 | MEAN_VALID_PER_ROW=7.50 | MEAN_VALID_OFFDIAG=6.50 | BATCH_RMSE=0.569794
  STEP 1000/2870 | TOTAL_LOSS=1.148867 | REG_LOSS=0.962873 | SOFTCLIP_LOSS=1.577896 | PCL_LOSS=0.282042 | MEAN_GATE=0.4813 | MEAN_VALID_PER_ROW=5.88 | MEAN_VALID_OFFDIAG=4.88 | BATCH_RMSE=0.981261
  STEP 1100/2870 | TOTAL_LOSS=1.716334 | REG_LOSS=1.521844 | SOFTCLIP_LOSS=1.696555 | PCL_LOSS=0.248351 | MEAN_GATE=0.5061 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=1.233630
  STEP 1200/2870 | TOTAL_LOSS=0.756575 | REG_LOSS=0.531874 | SOFTCLIP_LOSS=1.655577 | PCL_LOSS=0.591432 | MEAN_GATE=0.4694 | MEAN_VALID_PER_ROW=6.12 | MEAN_VALID_OFFDIAG=5.12 | BATCH_RMSE=0.729297
  STEP 1300/2870 | TOTAL_LOSS=1.091715 | REG_LOSS=0.889599 | SOFTCLIP_LOSS=1.747921 | PCL_LOSS=0.273237 | MEAN_GATE=0.4640 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.943185
  STEP 1400/2870 | TOTAL_LOSS=1.850080 | REG_LOSS=1.645381 | SOFTCLIP_LOSS=1.775813 | PCL_LOSS=0.271173 | MEAN_GATE=0.5185 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=1.282724
  STEP 1500/2870 | TOTAL_LOSS=0.720980 | REG_LOSS=0.497491 | SOFTCLIP_LOSS=1.813223 | PCL_LOSS=0.421667 | MEAN_GATE=0.4709 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=0.705331
  STEP 1600/2870 | TOTAL_LOSS=0.505961 | REG_LOSS=0.277802 | SOFTCLIP_LOSS=1.865235 | PCL_LOSS=0.416361 | MEAN_GATE=0.4916 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.527069
  STEP 1700/2870 | TOTAL_LOSS=1.811252 | REG_LOSS=1.577448 | SOFTCLIP_LOSS=1.665888 | PCL_LOSS=0.672147 | MEAN_GATE=0.4776 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=1.255965
  STEP 1800/2870 | TOTAL_LOSS=0.273188 | REG_LOSS=0.065227 | SOFTCLIP_LOSS=1.736525 | PCL_LOSS=0.343082 | MEAN_GATE=0.4577 | MEAN_VALID_PER_ROW=6.00 | MEAN_VALID_OFFDIAG=5.00 | BATCH_RMSE=0.255396
  STEP 1900/2870 | TOTAL_LOSS=0.765649 | REG_LOSS=0.563566 | SOFTCLIP_LOSS=1.716732 | PCL_LOSS=0.304097 | MEAN_GATE=0.4605 | MEAN_VALID_PER_ROW=7.38 | MEAN_VALID_OFFDIAG=6.38 | BATCH_RMSE=0.750710
  STEP 2000/2870 | TOTAL_LOSS=0.760958 | REG_LOSS=0.564189 | SOFTCLIP_LOSS=1.579017 | PCL_LOSS=0.388676 | MEAN_GATE=0.4773 | MEAN_VALID_PER_ROW=6.75 | MEAN_VALID_OFFDIAG=5.75 | BATCH_RMSE=0.751125
  STEP 2100/2870 | TOTAL_LOSS=3.444693 | REG_LOSS=3.245065 | SOFTCLIP_LOSS=1.676581 | PCL_LOSS=0.319699 | MEAN_GATE=0.5184 | MEAN_VALID_PER_ROW=7.12 | MEAN_VALID_OFFDIAG=6.12 | BATCH_RMSE=1.801407
  STEP 2200/2870 | TOTAL_LOSS=0.391110 | REG_LOSS=0.215359 | SOFTCLIP_LOSS=1.573453 | PCL_LOSS=0.184060 | MEAN_GATE=0.4489 | MEAN_VALID_PER_ROW=5.88 | MEAN_VALID_OFFDIAG=4.88 | BATCH_RMSE=0.464068
  STEP 2300/2870 | TOTAL_LOSS=1.126869 | REG_LOSS=0.918564 | SOFTCLIP_LOSS=1.802500 | PCL_LOSS=0.280548 | MEAN_GATE=0.4748 | MEAN_VALID_PER_ROW=6.50 | MEAN_VALID_OFFDIAG=5.50 | BATCH_RMSE=0.958418
  STEP 2400/2870 | TOTAL_LOSS=1.255718 | REG_LOSS=1.046705 | SOFTCLIP_LOSS=1.816863 | PCL_LOSS=0.273268 | MEAN_GATE=0.5132 | MEAN_VALID_PER_ROW=6.38 | MEAN_VALID_OFFDIAG=5.38 | BATCH_RMSE=1.023086
  STEP 2500/2870 | TOTAL_LOSS=0.517475 | REG_LOSS=0.266289 | SOFTCLIP_LOSS=1.871539 | PCL_LOSS=0.640316 | MEAN_GATE=0.5166 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.516032
  STEP 2600/2870 | TOTAL_LOSS=0.909123 | REG_LOSS=0.717076 | SOFTCLIP_LOSS=1.660785 | PCL_LOSS=0.259687 | MEAN_GATE=0.4701 | MEAN_VALID_PER_ROW=6.00 | MEAN_VALID_OFFDIAG=5.00 | BATCH_RMSE=0.846803
  STEP 2700/2870 | TOTAL_LOSS=0.440695 | REG_LOSS=0.220001 | SOFTCLIP_LOSS=1.798837 | PCL_LOSS=0.408106 | MEAN_GATE=0.4658 | MEAN_VALID_PER_ROW=7.00 | MEAN_VALID_OFFDIAG=6.00 | BATCH_RMSE=0.469043
