SWEEP START: 2026-04-18T17:08:28.721857\nSWEEP DIR: outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828\n\n\n====================================================================================================\n[RUN 1/5] bs2_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07\nSTART: 2026-04-18T17:08:28.721949\nOUTPUT_DIR: outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07\nCOMMAND: /data1/ztx/.conda/envs/mdta/bin/python -u train_p13d_stdclip_pcl.py --pairs_csv data/raw/davis/pairs.csv --drug_1d_dir data/processed/davis/drug_1d_chemberta2 --protein_1d_dir data/processed/davis/protein_1d_esm2 --protein_3d_dir data/processed/davis/protein_3d_min --split_json data/splits/davis_fixed_split_size2.json --output_dir outputs/stdclip_pcl_sweeps/stdclip_pcl_sweep_20260418_170828/bs2_lr0.0003_lc0.1_lp0.1_temp0.07_pt0.07 --drug_1d_in_dim 768 --hidden_dim 128 --contrastive_dim 128 --dropout 0.1 --epochs 30 --batch_size 2 --lr 0.0003 --lambda_clip 0.1 --lambda_pcl 0.1 --temperature_init 0.07 --pcl_temperature_init 0.07 --num_workers 0 --weight_decay 1e-05 --seed 42\n====================================================================================================\nUsing device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + stdclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 5600/11478 | TOTAL_LOSS=0.166047 | REG_LOSS=0.097798 | STDCLIP_LOSS=0.682481 | PCL_LOSS=0.000001 | MEAN_GATE=0.4975 | BATCH_RMSE=0.312728
  STEP 5700/11478 | TOTAL_LOSS=0.215580 | REG_LOSS=0.138295 | STDCLIP_LOSS=0.702431 | PCL_LOSS=0.070425 | MEAN_GATE=0.4978 | BATCH_RMSE=0.371880
  STEP 5800/11478 | TOTAL_LOSS=0.290970 | REG_LOSS=0.222126 | STDCLIP_LOSS=0.688446 | PCL_LOSS=0.000001 | MEAN_GATE=0.4931 | BATCH_RMSE=0.471302
  STEP 5900/11478 | TOTAL_LOSS=0.167160 | REG_LOSS=0.024405 | STDCLIP_LOSS=0.712603 | PCL_LOSS=0.714949 | MEAN_GATE=0.4884 | BATCH_RMSE=0.156222
  STEP 6000/11478 | TOTAL_LOSS=1.197246 | REG_LOSS=1.079068 | STDCLIP_LOSS=0.715700 | PCL_LOSS=0.466083 | MEAN_GATE=0.4949 | BATCH_RMSE=1.038782
  STEP 6100/11478 | TOTAL_LOSS=0.237081 | REG_LOSS=0.073510 | STDCLIP_LOSS=0.671378 | PCL_LOSS=0.964336 | MEAN_GATE=0.4941 | BATCH_RMSE=0.271127
  STEP 6200/11478 | TOTAL_LOSS=0.252429 | REG_LOSS=0.183342 | STDCLIP_LOSS=0.690843 | PCL_LOSS=0.000026 | MEAN_GATE=0.4945 | BATCH_RMSE=0.428185
  STEP 6300/11478 | TOTAL_LOSS=0.308196 | REG_LOSS=0.159796 | STDCLIP_LOSS=0.701890 | PCL_LOSS=0.782108 | MEAN_GATE=0.4970 | BATCH_RMSE=0.399745
  STEP 6400/11478 | TOTAL_LOSS=3.271739 | REG_LOSS=3.146098 | STDCLIP_LOSS=0.716101 | PCL_LOSS=0.540308 | MEAN_GATE=0.4978 | BATCH_RMSE=1.773724
  STEP 6500/11478 | TOTAL_LOSS=0.496030 | REG_LOSS=0.383833 | STDCLIP_LOSS=0.664965 | PCL_LOSS=0.457005 | MEAN_GATE=0.4962 | BATCH_RMSE=0.619543
  STEP 6600/11478 | TOTAL_LOSS=0.872225 | REG_LOSS=0.707088 | STDCLIP_LOSS=0.682791 | PCL_LOSS=0.968587 | MEAN_GATE=0.4949 | BATCH_RMSE=0.840885
  STEP 6700/11478 | TOTAL_LOSS=0.208812 | REG_LOSS=0.058767 | STDCLIP_LOSS=0.670815 | PCL_LOSS=0.829631 | MEAN_GATE=0.4928 | BATCH_RMSE=0.242420
  STEP 6800/11478 | TOTAL_LOSS=0.685382 | REG_LOSS=0.618596 | STDCLIP_LOSS=0.667851 | PCL_LOSS=0.000004 | MEAN_GATE=0.4936 | BATCH_RMSE=0.786509
  STEP 6900/11478 | TOTAL_LOSS=0.316097 | REG_LOSS=0.245111 | STDCLIP_LOSS=0.704703 | PCL_LOSS=0.005164 | MEAN_GATE=0.4971 | BATCH_RMSE=0.495087
  STEP 7000/11478 | TOTAL_LOSS=0.169999 | REG_LOSS=0.034369 | STDCLIP_LOSS=0.671235 | PCL_LOSS=0.685064 | MEAN_GATE=0.4884 | BATCH_RMSE=0.185389
  STEP 7100/11478 | TOTAL_LOSS=1.701922 | REG_LOSS=1.573213 | STDCLIP_LOSS=0.717839 | PCL_LOSS=0.569246 | MEAN_GATE=0.4977 | BATCH_RMSE=1.254278
  STEP 7200/11478 | TOTAL_LOSS=0.820063 | REG_LOSS=0.739168 | STDCLIP_LOSS=0.705254 | PCL_LOSS=0.103691 | MEAN_GATE=0.4974 | BATCH_RMSE=0.859749
  STEP 7300/11478 | TOTAL_LOSS=0.595263 | REG_LOSS=0.526660 | STDCLIP_LOSS=0.686035 | PCL_LOSS=0.000000 | MEAN_GATE=0.4883 | BATCH_RMSE=0.725713
  STEP 7400/11478 | TOTAL_LOSS=2.269048 | REG_LOSS=2.184530 | STDCLIP_LOSS=0.694499 | PCL_LOSS=0.150682 | MEAN_GATE=0.4939 | BATCH_RMSE=1.478015
  STEP 7500/11478 | TOTAL_LOSS=2.689368 | REG_LOSS=2.563988 | STDCLIP_LOSS=0.692241 | PCL_LOSS=0.561558 | MEAN_GATE=0.4901 | BATCH_RMSE=1.601246
  STEP 7600/11478 | TOTAL_LOSS=2.031563 | REG_LOSS=1.895172 | STDCLIP_LOSS=0.684877 | PCL_LOSS=0.679038 | MEAN_GATE=0.4952 | BATCH_RMSE=1.376652
  STEP 7700/11478 | TOTAL_LOSS=0.350253 | REG_LOSS=0.207458 | STDCLIP_LOSS=0.676271 | PCL_LOSS=0.751684 | MEAN_GATE=0.4960 | BATCH_RMSE=0.455475
  STEP 7800/11478 | TOTAL_LOSS=0.421405 | REG_LOSS=0.352742 | STDCLIP_LOSS=0.686542 | PCL_LOSS=0.000091 | MEAN_GATE=0.4918 | BATCH_RMSE=0.593920
  STEP 7900/11478 | TOTAL_LOSS=0.273053 | REG_LOSS=0.199250 | STDCLIP_LOSS=0.738021 | PCL_LOSS=0.000000 | MEAN_GATE=0.4733 | BATCH_RMSE=0.446375
  STEP 8000/11478 | TOTAL_LOSS=0.503186 | REG_LOSS=0.365891 | STDCLIP_LOSS=0.697107 | PCL_LOSS=0.675838 | MEAN_GATE=0.4972 | BATCH_RMSE=0.604889
  STEP 8100/11478 | TOTAL_LOSS=0.228039 | REG_LOSS=0.156017 | STDCLIP_LOSS=0.720215 | PCL_LOSS=0.000000 | MEAN_GATE=0.4810 | BATCH_RMSE=0.394990
  STEP 8200/11478 | TOTAL_LOSS=0.088108 | REG_LOSS=0.024437 | STDCLIP_LOSS=0.636707 | PCL_LOSS=0.000000 | MEAN_GATE=0.4677 | BATCH_RMSE=0.156324
  STEP 8300/11478 | TOTAL_LOSS=0.427664 | REG_LOSS=0.355970 | STDCLIP_LOSS=0.681892 | PCL_LOSS=0.035043 | MEAN_GATE=0.4752 | BATCH_RMSE=0.596633
  STEP 8400/11478 | TOTAL_LOSS=0.407901 | REG_LOSS=0.262008 | STDCLIP_LOSS=0.652025 | PCL_LOSS=0.806910 | MEAN_GATE=0.4640 | BATCH_RMSE=0.511867
  STEP 8500/11478 | TOTAL_LOSS=0.259734 | REG_LOSS=0.115525 | STDCLIP_LOSS=0.705382 | PCL_LOSS=0.736704 | MEAN_GATE=0.4887 | BATCH_RMSE=0.339890
  STEP 8600/11478 | TOTAL_LOSS=0.070016 | REG_LOSS=0.000390 | STDCLIP_LOSS=0.696255 | PCL_LOSS=0.000000 | MEAN_GATE=0.4606 | BATCH_RMSE=0.019755
  STEP 8700/11478 | TOTAL_LOSS=1.417026 | REG_LOSS=1.339128 | STDCLIP_LOSS=0.778192 | PCL_LOSS=0.000786 | MEAN_GATE=0.4727 | BATCH_RMSE=1.157207
