SWEEP START: 2026-04-18T06:49:02.530100
SWEEP DIR: outputs/pcl_sweeps/pcl_sweep_20260418_064902


====================================================================================================
[RUN 1/5] bs2_lr0.0003_lp0.1_temp0.07
START: 2026-04-18T06:49:02.530395
OUTPUT_DIR: outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs2_lr0.0003_lp0.1_temp0.07
COMMAND: /data1/ztx/.conda/envs/mdta/bin/python -u train_p13d_pcl.py --pairs_csv data/raw/davis/pairs.csv --drug_1d_dir data/processed/davis/drug_1d_chemberta2 --protein_1d_dir data/processed/davis/protein_1d_esm2 --protein_3d_dir data/processed/davis/protein_3d_min --split_json data/splits/davis_fixed_split_size2.json --output_dir outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs2_lr0.0003_lp0.1_temp0.07 --drug_1d_in_dim 768 --hidden_dim 128 --contrastive_dim 128 --dropout 0.1 --epochs 30 --batch_size 2 --lr 0.0003 --lambda_pcl 0.1 --temperature_init 0.07 --num_workers 0 --weight_decay 1e-05 --seed 42
====================================================================================================
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + protein(1d-3d) contrastive learning

EPOCH 1/30
  STEP 7900/11478 | TOTAL_LOSS=1.191468 | REG_LOSS=1.117074 | PCL_LOSS=0.743941 | MEAN_GATE=0.4983 | BATCH_RMSE=1.056917
  STEP 8000/11478 | TOTAL_LOSS=0.184135 | REG_LOSS=0.184135 | PCL_LOSS=0.000000 | MEAN_GATE=0.4826 | BATCH_RMSE=0.429110
  STEP 8100/11478 | TOTAL_LOSS=0.052053 | REG_LOSS=0.021060 | PCL_LOSS=0.309931 | MEAN_GATE=0.4775 | BATCH_RMSE=0.145120
  STEP 8200/11478 | TOTAL_LOSS=0.329678 | REG_LOSS=0.261027 | PCL_LOSS=0.686510 | MEAN_GATE=0.4574 | BATCH_RMSE=0.510908
  STEP 8300/11478 | TOTAL_LOSS=2.780684 | REG_LOSS=2.710580 | PCL_LOSS=0.701039 | MEAN_GATE=0.4958 | BATCH_RMSE=1.646384
  STEP 8400/11478 | TOTAL_LOSS=0.723302 | REG_LOSS=0.639320 | PCL_LOSS=0.839820 | MEAN_GATE=0.4909 | BATCH_RMSE=0.799575
  STEP 8500/11478 | TOTAL_LOSS=4.299059 | REG_LOSS=4.299047 | PCL_LOSS=0.000125 | MEAN_GATE=0.4840 | BATCH_RMSE=2.073414
  STEP 8600/11478 | TOTAL_LOSS=1.087108 | REG_LOSS=1.087108 | PCL_LOSS=0.000000 | MEAN_GATE=0.4860 | BATCH_RMSE=1.042645
  STEP 8700/11478 | TOTAL_LOSS=9.077745 | REG_LOSS=9.027164 | PCL_LOSS=0.505816 | MEAN_GATE=0.4796 | BATCH_RMSE=3.004524
  STEP 8800/11478 | TOTAL_LOSS=0.094778 | REG_LOSS=0.094595 | PCL_LOSS=0.001832 | MEAN_GATE=0.4877 | BATCH_RMSE=0.307563
  STEP 8900/11478 | TOTAL_LOSS=0.959953 | REG_LOSS=0.959951 | PCL_LOSS=0.000018 | MEAN_GATE=0.4739 | BATCH_RMSE=0.979771
  STEP 9000/11478 | TOTAL_LOSS=0.267826 | REG_LOSS=0.267811 | PCL_LOSS=0.000149 | MEAN_GATE=0.4792 | BATCH_RMSE=0.517505
  STEP 9100/11478 | TOTAL_LOSS=0.105648 | REG_LOSS=0.105648 | PCL_LOSS=0.000000 | MEAN_GATE=0.4878 | BATCH_RMSE=0.325036
  STEP 9200/11478 | TOTAL_LOSS=0.171871 | REG_LOSS=0.121185 | PCL_LOSS=0.506854 | MEAN_GATE=0.4720 | BATCH_RMSE=0.348117
  STEP 9300/11478 | TOTAL_LOSS=0.264519 | REG_LOSS=0.192568 | PCL_LOSS=0.719510 | MEAN_GATE=0.4662 | BATCH_RMSE=0.438826
  STEP 9400/11478 | TOTAL_LOSS=0.312720 | REG_LOSS=0.312720 | PCL_LOSS=0.000000 | MEAN_GATE=0.4710 | BATCH_RMSE=0.559214
  STEP 9500/11478 | TOTAL_LOSS=0.032105 | REG_LOSS=0.032105 | PCL_LOSS=0.000000 | MEAN_GATE=0.4763 | BATCH_RMSE=0.179178
  STEP 9600/11478 | TOTAL_LOSS=0.086651 | REG_LOSS=0.011863 | PCL_LOSS=0.747887 | MEAN_GATE=0.4710 | BATCH_RMSE=0.108916
  STEP 9700/11478 | TOTAL_LOSS=0.062654 | REG_LOSS=0.062654 | PCL_LOSS=0.000000 | MEAN_GATE=0.4666 | BATCH_RMSE=0.250307
  STEP 9800/11478 | TOTAL_LOSS=0.020757 | REG_LOSS=0.020757 | PCL_LOSS=0.000000 | MEAN_GATE=0.4749 | BATCH_RMSE=0.144071
