Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + protein(1d-3d) contrastive learning

EPOCH 1/30
  STEP 3800/5739 | TOTAL_LOSS=0.436768 | REG_LOSS=0.380165 | PCL_LOSS=0.566032 | MEAN_GATE=0.4785 | BATCH_RMSE=0.616575
  STEP 3900/5739 | TOTAL_LOSS=0.424799 | REG_LOSS=0.365873 | PCL_LOSS=0.589261 | MEAN_GATE=0.4562 | BATCH_RMSE=0.604874
  STEP 4000/5739 | TOTAL_LOSS=1.503859 | REG_LOSS=1.503814 | PCL_LOSS=0.000447 | MEAN_GATE=0.4884 | BATCH_RMSE=1.226301
  STEP 4100/5739 | TOTAL_LOSS=0.723818 | REG_LOSS=0.674161 | PCL_LOSS=0.496574 | MEAN_GATE=0.4754 | BATCH_RMSE=0.821073
  STEP 4200/5739 | TOTAL_LOSS=0.504704 | REG_LOSS=0.502788 | PCL_LOSS=0.019159 | MEAN_GATE=0.4277 | BATCH_RMSE=0.709075
  STEP 4300/5739 | TOTAL_LOSS=0.380753 | REG_LOSS=0.355595 | PCL_LOSS=0.251586 | MEAN_GATE=0.4334 | BATCH_RMSE=0.596318
  STEP 4400/5739 | TOTAL_LOSS=0.401505 | REG_LOSS=0.381871 | PCL_LOSS=0.196336 | MEAN_GATE=0.4108 | BATCH_RMSE=0.617957
  STEP 4500/5739 | TOTAL_LOSS=0.652774 | REG_LOSS=0.632249 | PCL_LOSS=0.205248 | MEAN_GATE=0.4917 | BATCH_RMSE=0.795141
  STEP 4600/5739 | TOTAL_LOSS=0.541073 | REG_LOSS=0.520654 | PCL_LOSS=0.204191 | MEAN_GATE=0.3406 | BATCH_RMSE=0.721563
  STEP 4700/5739 | TOTAL_LOSS=0.169785 | REG_LOSS=0.166021 | PCL_LOSS=0.037646 | MEAN_GATE=0.4404 | BATCH_RMSE=0.407456
  STEP 4800/5739 | TOTAL_LOSS=1.081152 | REG_LOSS=1.038390 | PCL_LOSS=0.427619 | MEAN_GATE=0.4260 | BATCH_RMSE=1.019014
  STEP 4900/5739 | TOTAL_LOSS=1.038517 | REG_LOSS=0.961149 | PCL_LOSS=0.773683 | MEAN_GATE=0.3317 | BATCH_RMSE=0.980382
  STEP 5000/5739 | TOTAL_LOSS=0.420291 | REG_LOSS=0.402375 | PCL_LOSS=0.179161 | MEAN_GATE=0.3815 | BATCH_RMSE=0.634330
  STEP 5100/5739 | TOTAL_LOSS=0.252545 | REG_LOSS=0.252101 | PCL_LOSS=0.004441 | MEAN_GATE=0.4374 | BATCH_RMSE=0.502096
  STEP 5200/5739 | TOTAL_LOSS=0.085059 | REG_LOSS=0.058196 | PCL_LOSS=0.268631 | MEAN_GATE=0.3743 | BATCH_RMSE=0.241239
  STEP 5300/5739 | TOTAL_LOSS=0.732342 | REG_LOSS=0.729635 | PCL_LOSS=0.027072 | MEAN_GATE=0.3866 | BATCH_RMSE=0.854187
  STEP 5400/5739 | TOTAL_LOSS=0.130551 | REG_LOSS=0.115373 | PCL_LOSS=0.151781 | MEAN_GATE=0.3285 | BATCH_RMSE=0.339666
  STEP 5500/5739 | TOTAL_LOSS=1.350647 | REG_LOSS=1.303806 | PCL_LOSS=0.468413 | MEAN_GATE=0.3237 | BATCH_RMSE=1.141843
